asc array
10,4
100,44
1000,207
5000,108
10000,198
100000,351
200000,747
300000,1115
400000,1494
500000,1849
1000000,3842
desc array
10,0
100,0
1000,2
5000,11
10000,27
100000,322
200000,691
300000,1028
400000,1398
500000,1801
1000000,3740
